# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:06.180Z  giver=8 målPoeng=30 tro=e1-modell/mlb-tro.bin
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	SPILL	9	0.7385	0.0099	0.1850
0	SPILL	4	0.5041	0.0095	0.0209
0	SPILL	3	0.4844	0.0092	0.0150
0	SPILL	8	0.4939	0.0090	0.0366
0	SPILL	2	0.4778	0.0094	0.0098
0	SPILL	3	0.4845	0.0093	0.0113
0	SPILL	3	0.5069	0.0094	0.0157
0	SPILL	7	0.4798	0.0099	0.0246
0	SPILL	2	0.4965	0.0110	0.0085
0	SPILL	7	0.6346	0.0111	0.1556
0	SPILL	3	0.4990	0.0101	0.0154
0	SPILL	6	0.5229	0.0097	0.0236
0	SPILL	1	0.5114	0.0114	0.0015
0	SPILL	2	0.5147	0.0104	0.0096
0	SPILL	2	0.5717	0.0099	0.0727
0	SPILL	5	0.5559	0.0096	0.0211
0	SPILL	5	0.6849	0.0107	0.0225
0	SPILL	1	0.5540	0.0119	0.0001
0	SPILL	1	0.5128	0.0118	0.0001
0	SPILL	4	0.5028	0.0112	0.0070
0	SPILL	1	0.5048	0.0113	0.0001
0	SPILL	4	0.5875	0.0196	0.0755
0	SPILL	1	0.4966	0.0117	0.0002
0	SPILL	3	0.5026	0.0108	0.0088
0	SPILL	3	0.5103	0.0105	0.0130
0	SPILL	3	0.5232	0.0109	0.0128
0	SPILL	1	0.5233	0.0127	0.0001
0	SPILL	2	0.5237	0.0152	0.0059
0	SPILL	2	0.5511	0.0105	0.0089
0	SPILL	2	0.5277	0.0106	0.0089
0	SPILL	2	0.5884	0.0104	0.0363
0	SPILL	1	0.5284	0.0116	0.0001
0	SPILL	1	0.7393	0.0166	0.0001
0	SPILL	1	0.5099	0.0129	0.0001
0	SPILL	1	0.5003	0.0124	0.0001
0	BUD	0	0.5245	0.0809	0.0002
0	BUD	0	0.5786	0.0128	0.0001
0	BUD	0	0.4702	0.0102	0.0002
0	BUD	0	0.4520	0.0091	0.0001
0	VRAK	0	0.4423	0.0093	0.0001
0	VELG	0	0.4426	0.0087	0.0002
0	SPILL	5	0.6143	0.0099	0.0380
0	SPILL	2	0.5213	0.0086	0.0139
0	SPILL	3	0.5229	0.0084	0.0184
0	SPILL	1	0.4780	0.0098	0.0001
0	SPILL	11	0.5508	0.0343	0.0312
0	SPILL	4	0.6274	0.0212	0.0927
0	SPILL	1	0.5219	0.0097	0.0001
0	SPILL	2	0.4973	0.0090	0.0092
0	SPILL	10	0.5892	0.0130	0.0571
0	SPILL	3	0.6424	0.0131	0.0151
0	SPILL	4	0.6732	0.0086	0.1001
0	SPILL	2	0.6332	0.0099	0.0084
0	SPILL	9	0.4825	0.0083	0.0143
0	SPILL	3	0.5220	0.0085	0.0618
0	SPILL	2	0.4723	0.0211	0.0088
0	SPILL	3	0.5266	0.0087	0.0848
0	SPILL	8	0.4631	0.0176	0.0128
0	SPILL	2	0.5026	0.0088	0.0518
0	SPILL	8	0.4743	0.0189	0.0233
0	SPILL	2	0.5026	0.0093	0.0419
0	SPILL	7	0.4845	0.0101	0.0103
0	SPILL	7	0.5963	0.0088	0.1343
0	SPILL	2	0.6651	0.0110	0.0092
0	SPILL	3	0.4817	0.0098	0.0142
0	SPILL	6	0.5323	0.0095	0.0304
0	SPILL	6	0.4976	0.0096	0.0281
0	SPILL	1	0.4664	0.0102	0.0001
0	SPILL	6	0.6221	0.0104	0.1309
0	SPILL	5	0.4803	0.0100	0.0217
0	SPILL	5	0.4781	0.0096	0.0153
0	SPILL	2	0.4960	0.0094	0.0081
0	SPILL	3	0.5662	0.0105	0.0095
0	SPILL	4	0.4901	0.0111	0.0068
0	SPILL	2	0.5125	0.0110	0.0401
0	SPILL	4	0.4870	0.0101	0.0189
0	SPILL	1	0.4778	0.0106	0.0001
0	SPILL	3	0.4847	0.0117	0.0070
0	SPILL	1	0.4865	0.0130	0.0001
0	SPILL	3	0.4885	0.0121	0.0137
0	SPILL	3	0.4961	0.0118	0.0128
0	SPILL	2	0.4997	0.0108	0.0155
0	SPILL	2	0.4948	0.0105	0.0085
0	SPILL	2	0.5110	0.0122	0.0086
0	SPILL	2	0.5307	0.0111	0.0376
0	SPILL	1	0.4897	0.0120	0.0002
0	SPILL	1	0.5579	0.0138	0.0001
0	SPILL	1	0.5074	0.0126	0.0001
0	SPILL	1	0.4937	0.0132	0.0001
0	BUD	0	0.7067	0.0182	0.0002
0	BUD	0	0.7348	0.0110	0.0001
0	BUD	0	0.6393	0.0088	0.0001
0	BUD	0	0.4278	0.0082	0.0001
0	VRAK	0	0.3958	0.0085	0.0001
0	VELG	0	0.4072	0.0074	0.0001
0	SPILL	6	0.5553	0.0088	0.0435
0	SPILL	1	0.4144	0.0085	0.0001
0	SPILL	2	0.4647	0.0090	0.0121
0	SPILL	2	0.4526	0.0077	0.0119
0	SPILL	11	0.4460	0.0077	0.0198
0	SPILL	1	0.4195	0.0092	0.0000
0	SPILL	1	0.6358	0.0138	0.0001
0	SPILL	5	0.4637	0.0093	0.0151
0	SPILL	10	0.4873	0.0072	0.0475
0	SPILL	1	0.4400	0.0104	0.0001
0	SPILL	10	0.4819	0.0095	0.0638
0	SPILL	10	0.4902	0.0082	0.0655
0	SPILL	9	0.4913	0.0083	0.0403
0	SPILL	9	0.6691	0.0083	0.2182
0	SPILL	9	0.4856	0.0086	0.0514
0	SPILL	9	0.4983	0.0084	0.0556
0	SPILL	8	0.4958	0.0081	0.0327
0	SPILL	8	0.6558	0.0085	0.1833
0	SPILL	8	0.5407	0.0091	0.0428
0	SPILL	8	0.5275	0.0094	0.0457
0	SPILL	7	0.5045	0.0101	0.0256
0	SPILL	1	0.4877	0.0102	0.0001
0	SPILL	3	0.4794	0.0091	0.0137
0	SPILL	3	0.4689	0.0092	0.0151
0	SPILL	6	0.5170	0.0098	0.0243
0	SPILL	6	0.6289	0.0095	0.1295
0	SPILL	2	0.4780	0.0106	0.0073
0	SPILL	2	0.5411	0.0102	0.0448
0	SPILL	5	0.5121	0.0124	0.0077
0	SPILL	1	0.4890	0.0107	0.0001
0	SPILL	5	0.5106	0.0102	0.0400
0	SPILL	5	0.5966	0.0104	0.1073
0	SPILL	4	0.5346	0.0111	0.0104
0	SPILL	4	0.5825	0.0109	0.0808
0	SPILL	1	0.6545	0.0122	0.0001
0	SPILL	1	0.4773	0.0124	0.0001
0	SPILL	3	0.5498	0.0106	0.0086
0	SPILL	3	0.5442	0.0158	0.0586
0	SPILL	3	0.5051	0.0106	0.0145
0	SPILL	3	0.5024	0.0111	0.0151
0	SPILL	2	0.5244	0.0107	0.0061
0	SPILL	2	0.5516	0.0100	0.0377
0	SPILL	2	0.5023	0.0105	0.0083
0	SPILL	2	0.5340	0.0145	0.0093
0	SPILL	1	0.5851	0.0149	0.0002
0	SPILL	1	0.5323	0.0132	0.0001
0	SPILL	1	0.5331	0.0139	0.0001
0	SPILL	1	0.5229	0.0219	0.0001
0	BUD	0	0.4795	0.0089	0.0001
0	BUD	0	0.5073	0.0087	0.0001
0	BUD	0	0.4245	0.0167	0.0001
0	BUD	0	0.3702	0.0083	0.0000
0	BUD	0	0.3718	0.0076	0.0001
0	VRAK	0	0.3842	0.0079	0.0000
