# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:04.140Z  giver=20 målPoeng=30 tro=AV
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	BUD	0	0.0369	0.0050	0.0001
0	BUD	0	0.0345	0.0059	0.0001
0	BUD	0	0.0341	0.0046	0.0000
0	BUD	0	0.0331	0.0044	0.0000
0	VRAK	0	0.0408	0.0054	0.0001
0	VELG	0	0.0366	0.0052	0.0001
0	SPILL	7	0.0849	0.0054	0.0389
0	SPILL	3	0.0686	0.0054	0.0148
0	SPILL	1	0.0483	0.0105	0.0002
0	SPILL	1	0.0418	0.0057	0.0001
0	SPILL	11	0.0838	0.0083	0.0196
0	SPILL	11	0.1145	0.0060	0.0973
0	SPILL	6	0.1731	0.0064	0.1344
0	SPILL	2	0.0947	0.1261	0.0102
0	SPILL	10	0.0997	0.0066	0.0499
0	SPILL	3	0.0546	0.0064	0.0083
0	SPILL	3	0.0490	0.0062	0.0085
0	SPILL	3	0.0726	0.0072	0.0102
0	SPILL	9	0.0489	0.0125	0.0094
0	SPILL	9	0.0662	0.0068	0.0198
0	SPILL	3	0.0570	0.1498	0.0145
0	SPILL	2	0.0934	0.0069	0.0470
0	SPILL	8	0.0967	0.0125	0.0591
0	SPILL	1	0.0372	0.0067	0.0001
0	SPILL	8	0.2285	0.0073	0.1800
0	SPILL	8	0.0833	0.0072	0.0418
0	SPILL	7	0.0795	0.0074	0.0359
0	SPILL	7	0.0753	0.0072	0.0335
0	SPILL	7	0.2110	0.0079	0.1680
0	SPILL	7	0.0741	0.0076	0.0412
0	SPILL	6	0.0720	0.0078	0.0284
0	SPILL	2	0.0465	0.0085	0.0064
0	SPILL	1	0.0377	0.0076	0.0000
0	SPILL	2	0.0955	0.0081	0.0452
0	SPILL	5	0.0415	0.0074	0.0065
0	SPILL	5	0.0542	0.0082	0.0123
0	SPILL	1	0.0381	0.0082	0.0000
0	SPILL	1	0.0392	0.0078	0.0001
0	SPILL	4	0.0621	0.0079	0.0176
0	SPILL	4	0.0634	0.0082	0.0162
0	SPILL	4	0.1235	0.0083	0.0784
0	SPILL	4	0.0652	0.0082	0.0159
0	SPILL	3	0.0475	0.0085	0.0070
0	SPILL	2	0.0501	0.0089	0.0077
0	SPILL	3	0.1041	0.0143	0.0572
0	SPILL	1	0.0371	0.0087	0.0001
0	SPILL	2	0.0697	0.0131	0.0061
0	SPILL	1	0.0384	0.0093	0.0001
0	SPILL	2	0.0857	0.0097	0.0385
0	SPILL	1	0.2026	0.0121	0.0001
0	SPILL	1	0.0443	0.0104	0.0000
0	SPILL	1	0.0395	0.0091	0.0001
0	SPILL	1	0.0381	0.0094	0.0001
0	SPILL	1	0.0370	0.0109	0.0000
1	BUD	0	0.0460	0.0327	0.0001
1	BUD	0	0.0387	0.0057	0.0001
1	BUD	0	0.0364	0.0064	0.0001
1	BUD	0	0.0376	0.0064	0.0001
